rank,query_type,query_term,keyword,crossref_total,top_year,top_title,top_doi
10,formula,B9C5Cr4H3,H adsorption,235198,1974.0,5. Experimentelle Probleme der Adsorption,10.1515/9783110842395.111
10,formula,B9C5Cr4H3,HER,66595,,HER Communication,10.21428/aab485b1
10,formula,B9C5Cr4H3,Delta G_H,109839,1991.0,Exact results for the nonlinear diffusion equations delta u/ delta t= delta / delta x(u<sup>-4/3</sup>delta u/ delta x) and delta u/ delta t- delta / delta x(u<sup>-2/3</sup>delta u/ delta x),10.1088/0305-4470/24/24/009
10,surface,CuGa,hydrogen adsorption,737572,,Complex Crystal Chemistry of Yb6(CuGa)50 and Yb6(CuGa)51 Grown at Different Synthetic Conditions,10.1021/acs.cgd.8b00958.s001
10,surface,CuGa,H adsorption,235486,,Complex Crystal Chemistry of Yb6(CuGa)50 and Yb6(CuGa)51 Grown at Different Synthetic Conditions,10.1021/acs.cgd.8b00958.s001
10,surface,CuGa,HER,66881,,Complex Crystal Chemistry of Yb6(CuGa)50 and Yb6(CuGa)51 Grown at Different Synthetic Conditions,10.1021/acs.cgd.8b00958.s001
10,surface,CuGa,Delta G_H,110127,,Complex Crystal Chemistry of Yb6(CuGa)50 and Yb6(CuGa)51 Grown at Different Synthetic Conditions,10.1021/acs.cgd.8b00958.s001
10,formula_surface,B9C5Cr4H3 CuGa,hydrogen adsorption,737572,,Complex Crystal Chemistry of Yb6(CuGa)50 and Yb6(CuGa)51 Grown at Different Synthetic Conditions,10.1021/acs.cgd.8b00958.s001
10,formula_surface,B9C5Cr4H3 CuGa,H adsorption,235486,,Complex Crystal Chemistry of Yb6(CuGa)50 and Yb6(CuGa)51 Grown at Different Synthetic Conditions,10.1021/acs.cgd.8b00958.s001
10,formula_surface,B9C5Cr4H3 CuGa,HER,66881,,Complex Crystal Chemistry of Yb6(CuGa)50 and Yb6(CuGa)51 Grown at Different Synthetic Conditions,10.1021/acs.cgd.8b00958.s001
10,formula_surface,B9C5Cr4H3 CuGa,Delta G_H,110127,,Complex Crystal Chemistry of Yb6(CuGa)50 and Yb6(CuGa)51 Grown at Different Synthetic Conditions,10.1021/acs.cgd.8b00958.s001
