source_id,candidate_id,formula,surface,facet,reaction,adsorbate,site,reaction_energy,source,fallback_used
UmVhY3Rpb246Mzk5Nzg0,Sn9V3|Sn3V|111,Sn9V3,Sn3V,111,N2O(g) + 3* -> 2N* + O*,O,top,-4.282452625300039,Catalysis-Hub,False
UmVhY3Rpb246Mzk5ODY1,Sn9Tc3|Sn3Tc|111,Sn9Tc3,Sn3Tc,111,CO(g) + 2* -> C* + O*,O,top,0.299471755823447,Catalysis-Hub,False
UmVhY3Rpb246NDAwMDQy,Fe3Sn9|Sn3Fe|111,Fe3Sn9,Sn3Fe,111,H2O(g) + 3* -> 2H* + O*,O,hollow,2.228284305418015,Catalysis-Hub,False
UmVhY3Rpb246NDAwMjI3,Ag3Sn9|Sn3Ag|111,Ag3Sn9,Sn3Ag,111,SO2(g) + 3* -> 2O* + S*,O,hollow,-1.095689773161439,Catalysis-Hub,False
UmVhY3Rpb246NDAwOTQy,Pt9Rh3|Pt3Rh|111,Pt9Rh3,Pt3Rh,111,H2O(g) - H2(g) + * -> O*,O,top|B,1.9315615796329553,Catalysis-Hub,False
UmVhY3Rpb246Mzk3Mjg0,In9Os3|In3Os|111,In9Os3,In3Os,111,NO(g) + 2* -> N* + O*,O,top,-0.6697419540105329,Catalysis-Hub,False
UmVhY3Rpb246Mzk4MDg0,Tl9V3|Tl3V|111,Tl9V3,Tl3V,111,OCHOH(g) + 5* -> C* + 2H* + 2O*,O,top,-0.1812068639358131,Catalysis-Hub,False
UmVhY3Rpb246Mzk5MTcw,Ag3Pb9|Pb3Ag|111,Ag3Pb9,Pb3Ag,111,SO2(g) + 3* -> 2O* + S*,O,hollow,-0.34215893416535437,Catalysis-Hub,False
UmVhY3Rpb246Mzk5Nzg1,Sn9V3|Sn3V|111,Sn9V3,Sn3V,111,H2O2(g) + 4* -> 2H* + 2O*,O,top,-5.702707676065302,Catalysis-Hub,False
UmVhY3Rpb246NDAwMDQz,Fe3Sn9|Sn3Fe|111,Fe3Sn9,Sn3Fe,111,O2(g) + 2* -> 2O*,O,hollow,-4.3950727879682745,Catalysis-Hub,False
UmVhY3Rpb246Mzk3Mjg1,In9Os3|In3Os|111,In9Os3,In3Os,111,CH3CH2OH(g) + 9* -> 2C* + 6H* + O*,O,top,6.511999675401626,Catalysis-Hub,False
UmVhY3Rpb246Mzk4MDg1,Tl9V3|Tl3V|111,Tl9V3,Tl3V,111,H2O(g) + 3* -> 2H* + O*,O,top,0.46793539242014504,Catalysis-Hub,False
UmVhY3Rpb246Mzk5NTM3,La3Sn9|Sn3La|111,La3Sn9,Sn3La,111,H2O2(g) + 4* -> 2H* + 2O*,O,bridge,-3.0813395564557595,Catalysis-Hub,False
UmVhY3Rpb246Mzk5Nzg2,Sn9V3|Sn3V|111,Sn9V3,Sn3V,111,CH3OH(g) + 6* -> C* + 4H* + O*,O,top,0.9202405661931152,Catalysis-Hub,False
UmVhY3Rpb246Mzk2NzA5,Ga9Sn3|Ga3Sn|111,Ga9Sn3,Ga3Sn,111,N2O(g) + 3* -> 2N* + O*,O,hollow,-0.30964826910098964,Catalysis-Hub,False
UmVhY3Rpb246Mzk3Mjg2,In9Os3|In3Os|111,In9Os3,In3Os,111,CO(g) + 2* -> C* + O*,O,top,3.1726621853252936,Catalysis-Hub,False
UmVhY3Rpb246MjUxMTU=,Au16|Au|111,Au16,Au,111,2.0H2O(g) + H2(g) + N2(g) + * -> 2.0H2N* + 2.0HO*,OH,ontop,5.0492267613,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MTk=,Ag16|Ag|111,Ag16,Ag,111,2.0CH4(g) + H2O(g) - 3.5H2(g) + * -> 2.0CH* + HO*,OH,ontop,13.2641495726,Catalysis-Hub,False
UmVhY3Rpb246MzQ2MTI=,MoW15HO48|MoW15HO48|1,MoW15HO48,MoW15HO48,1,H2O(g) - H2(g) + * -> O*,O,B,3.31536621,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MjA=,Ag16|Ag|111,Ag16,Ag,111,CH4(g) + H2O(g) - 2.0H2(g) + * -> CH* + HO*,OH,ontop,7.50440699112,Catalysis-Hub,False
UmVhY3Rpb246MjUxNzM=,Ag16|Ag|111,Ag16,Ag,111,2.0H2O(g) + H2(g) + N2(g) + * -> 2.0H2N* + 2.0HO*,OH,ontop,4.86472301965,Catalysis-Hub,False
UmVhY3Rpb246MzQ2MTM=,MoW15HO48|MoW15HO48|1,MoW15HO48,MoW15HO48,1,H2O(g) - H2(g) + * -> O*,O,A,1.80992181,Catalysis-Hub,False
