source_id,candidate_id,formula,surface,facet,reaction,adsorbate,site,reaction_energy,source,fallback_used,dG_H
UmVhY3Rpb246MzY2ODUw,Au6Ni6|AuNi|101,Au6Ni6,AuNi,101,NH3(g) + 4* -> 3H* + N*,H,bridge,0.9783819056854668,Catalysis-Hub,False,0.9783819056854668
UmVhY3Rpb246MzY3MTY5,Cd6Hg6|CdHg|101,Cd6Hg6,CdHg,101,NH3(g) + 4* -> 3H* + N*,H,top,5.787616309581438,Catalysis-Hub,False,5.787616309581438
UmVhY3Rpb246MzY3MzQz,Au6La6|AuLa|101,Au6La6,AuLa,101,NCH(g) + 3* -> C* + H* + N*,H,bridge,-1.31766976639517,Catalysis-Hub,False,-1.31766976639517
UmVhY3Rpb246MzY3NDA2,Cr6Tl6|CrTl|101,Cr6Tl6,CrTl,101,NH3(g) + 4* -> 3H* + N*,H,top,-1.206098874715451,Catalysis-Hub,False,-1.206098874715451
UmVhY3Rpb246MzY3NTg3,Rh6Ti6|RhTi|101,Rh6Ti6,RhTi,101,NCH(g) + 3* -> C* + H* + N*,H,hollow,-2.374463043303308,Catalysis-Hub,False,-2.374463043303308
UmVhY3Rpb246MzY3NzQ0,Al6Os6|AlOs|101,Al6Os6,AlOs,101,H2O(g) + 3* -> 2H* + O*,H,top-tilt,-1.4609899480730064,Catalysis-Hub,False,-1.4609899480730064
UmVhY3Rpb246MzY3ODc3,Hf6Y6|HfY|101,Hf6Y6,HfY,101,NH3(g) + 4* -> 3H* + N*,H,hollow,-5.3235932337203735,Catalysis-Hub,False,-5.3235932337203735
UmVhY3Rpb246MzcxMjg1,Cr6Zr6|CrZr|101,Cr6Zr6,CrZr,101,H2O(g) + 3* -> 2H* + O*,H,hollow,-4.6058724398773165,Catalysis-Hub,False,-4.6058724398773165
UmVhY3Rpb246MzcxNjIw,Ir6Ni6|IrNi|101,Ir6Ni6,IrNi,101,NCH(g) + 3* -> C* + H* + N*,H,hollow,-1.1093702964029717,Catalysis-Hub,False,-1.1093702964029717
UmVhY3Rpb246MzYxMjE3,Bi6Hf6|BiHf|101,Bi6Hf6,BiHf,101,CH3CH3(g) + 8* -> 2C* + 6H*,H,bridge,1.8204830783791977,Catalysis-Hub,False,1.8204830783791977
UmVhY3Rpb246MzY5NDk5,Ga6In6|GaIn|101,Ga6In6,GaIn,101,CH4(g) + 5* -> C* + 4H*,H,bridge-tilt,6.412137433872999,Catalysis-Hub,False,6.412137433872999
UmVhY3Rpb246MzcwNzIy,Al6Re6|AlRe|101,Al6Re6,AlRe,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,bridge,0.7721039691037959,Catalysis-Hub,False,0.7721039691037959
UmVhY3Rpb246MzcwNzgw,Ga6W6|GaW|101,Ga6W6,GaW,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,bridge,2.0352202174996137,Catalysis-Hub,False,2.0352202174996137
UmVhY3Rpb246MzcwODk2,Ir6Y6|IrY|101,Ir6Y6,IrY,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,hollow-tilt,-2.7523114758936345,Catalysis-Hub,False,-2.7523114758936345
UmVhY3Rpb246MzcwOTgz,Sc6Ta6|ScTa|101,Sc6Ta6,ScTa,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,hollow,-4.623401605115191,Catalysis-Hub,False,-4.623401605115191
UmVhY3Rpb246MzcxMDQx,Al6Zr6|AlZr|101,Al6Zr6,AlZr,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,hollow,-1.6779962446620402,Catalysis-Hub,False,-1.6779962446620402
UmVhY3Rpb246MzcxMTk5,Rh6Zr6|RhZr|101,Rh6Zr6,RhZr,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,hollow,-0.45421405189551933,Catalysis-Hub,False,-0.45421405189551933
UmVhY3Rpb246MzcxNjIx,Ir6Ni6|IrNi|101,Ir6Ni6,IrNi,101,C2H2(g) + 4* -> 2C* + 2H*,H,hollow,-1.5714855820179423,Catalysis-Hub,False,-1.5714855820179423
UmVhY3Rpb246MzYxMjE4,Bi6Hf6|BiHf|101,Bi6Hf6,BiHf,101,H2O2(g) + 4* -> 2H* + 2O*,H,bridge,-8.199116767268833,Catalysis-Hub,False,-8.199116767268833
UmVhY3Rpb246MzcwNDYy,Fe6Ru6|FeRu|101,Fe6Ru6,FeRu,101,H2(g) + 2* -> 2H*,H,hollow,-0.7136650733136207,Catalysis-Hub,False,-0.7136650733136207
UmVhY3Rpb246MzcwNTQ5,Ag6Zr6|AgZr|101,Ag6Zr6,AgZr,101,H2(g) + 2* -> 2H*,H,bridge,-1.447313914917629,Catalysis-Hub,False,-1.447313914917629
UmVhY3Rpb246MzcwNjY1,Nb6Ta6|NbTa|101,Nb6Ta6,NbTa,101,H2(g) + 2* -> 2H*,H,hollow,-2.590650821117322,Catalysis-Hub,False,-2.590650821117322
UmVhY3Rpb246MzcwNzIz,Al6Re6|AlRe|101,Al6Re6,AlRe,101,H2(g) + 2* -> 2H*,H,bridge,-0.6066859667134281,Catalysis-Hub,False,-0.6066859667134281
UmVhY3Rpb246MzcwNzgx,Ga6W6|GaW|101,Ga6W6,GaW,101,H2(g) + 2* -> 2H*,H,bridge,-1.0239643747171954,Catalysis-Hub,False,-1.0239643747171954
UmVhY3Rpb246MzcwODk3,Ir6Y6|IrY|101,Ir6Y6,IrY,101,H2(g) + 2* -> 2H*,H,hollow-tilt,-1.5252157531121497,Catalysis-Hub,False,-1.5252157531121497
UmVhY3Rpb246MzcwOTg0,Sc6Ta6|ScTa|101,Sc6Ta6,ScTa,101,H2(g) + 2* -> 2H*,H,hollow,-2.00350181171774,Catalysis-Hub,False,-2.00350181171774
UmVhY3Rpb246MzcxMDQy,Al6Zr6|AlZr|101,Al6Zr6,AlZr,101,H2(g) + 2* -> 2H*,H,hollow,-1.3631676083149955,Catalysis-Hub,False,-1.3631676083149955
UmVhY3Rpb246MzcxMjAw,Rh6Zr6|RhZr|101,Rh6Zr6,RhZr,101,H2(g) + 2* -> 2H*,H,hollow,-1.0347199463121228,Catalysis-Hub,False,-1.0347199463121228
UmVhY3Rpb246MzcxMjg3,Cr6Zr6|CrZr|101,Cr6Zr6,CrZr,101,NCH(g) + 3* -> C* + H* + N*,H,hollow,-6.279191727997727,Catalysis-Hub,False,-6.279191727997727
UmVhY3Rpb246MzcxMzQ5,Cd6Ni6|CdNi|101,Cd6Ni6,CdNi,101,H2(g) + 2* -> 2H*,H,bridge,-0.6294333229142808,Catalysis-Hub,False,-0.6294333229142808
UmVhY3Rpb246MzYxMjE5,Bi6Hf6|BiHf|101,Bi6Hf6,BiHf,101,H2SO4(g) + 7* -> 2H* + 4O* + S*,H,bridge,-14.40297459527028,Catalysis-Hub,False,-14.40297459527028
UmVhY3Rpb246MzY5NTAx,Ga6In6|GaIn|101,Ga6In6,GaIn,101,OCHOH(g) + 5* -> C* + 2H* + 2O*,H,bridge-tilt,3.459394659786767,Catalysis-Hub,False,3.459394659786767
UmVhY3Rpb246MzcwNDYz,Fe6Ru6|FeRu|101,Fe6Ru6,FeRu,101,NH3(g) + 4* -> 3H* + N*,H,hollow,-1.087119547815007,Catalysis-Hub,False,-1.087119547815007
UmVhY3Rpb246MzcwNTUw,Ag6Zr6|AgZr|101,Ag6Zr6,AgZr,101,NH3(g) + 4* -> 3H* + N*,H,bridge,-3.072605110520442,Catalysis-Hub,False,-3.072605110520442
UmVhY3Rpb246MzcwNjY2,Nb6Ta6|NbTa|101,Nb6Ta6,NbTa,101,NH3(g) + 4* -> 3H* + N*,H,hollow,-5.781533749018479,Catalysis-Hub,False,-5.781533749018479
UmVhY3Rpb246MzcwNzI0,Al6Re6|AlRe|101,Al6Re6,AlRe,101,NH3(g) + 4* -> 3H* + N*,H,bridge,-0.8024575877126949,Catalysis-Hub,False,-0.8024575877126949
UmVhY3Rpb246MzcwNzgy,Ga6W6|GaW|101,Ga6W6,GaW,101,NH3(g) + 4* -> 3H* + N*,H,bridge,-1.5161203477229606,Catalysis-Hub,False,-1.5161203477229606
UmVhY3Rpb246MzcwODk4,Ir6Y6|IrY|101,Ir6Y6,IrY,101,NH3(g) + 4* -> 3H* + N*,H,hollow-tilt,-2.363460664412912,Catalysis-Hub,False,-2.363460664412912
UmVhY3Rpb246MzcwOTg1,Sc6Ta6|ScTa|101,Sc6Ta6,ScTa,101,NH3(g) + 4* -> 3H* + N*,H,hollow,-4.918500491524526,Catalysis-Hub,False,-4.918500491524526
UmVhY3Rpb246MzcxMDQz,Al6Zr6|AlZr|101,Al6Zr6,AlZr,101,NH3(g) + 4* -> 3H* + N*,H,hollow,-3.1125140062878813,Catalysis-Hub,False,-3.1125140062878813
UmVhY3Rpb246MzcxMjAx,Rh6Zr6|RhZr|101,Rh6Zr6,RhZr,101,NH3(g) + 4* -> 3H* + N*,H,hollow,-2.501609730611733,Catalysis-Hub,False,-2.501609730611733
UmVhY3Rpb246MzcxMjg4,Cr6Zr6|CrZr|101,Cr6Zr6,CrZr,101,C2H2(g) + 4* -> 2C* + 2H*,H,hollow,-6.198349835808642,Catalysis-Hub,False,-6.198349835808642
UmVhY3Rpb246MzcxMzUw,Cd6Ni6|CdNi|101,Cd6Ni6,CdNi,101,NH3(g) + 4* -> 3H* + N*,H,bridge,0.3791013810867412,Catalysis-Hub,False,0.3791013810867412
UmVhY3Rpb246MzcxNjIz,Ir6Ni6|IrNi|101,Ir6Ni6,IrNi,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,hollow,-0.06702408751732492,Catalysis-Hub,False,-0.06702408751732492
UmVhY3Rpb246MzYxMjIw,Bi6Hf6|BiHf|101,Bi6Hf6,BiHf,101,CH3OH(g) + 6* -> C* + 4H* + O*,H,bridge,-2.324140622509276,Catalysis-Hub,False,-2.324140622509276
UmVhY3Rpb246MzY5NTAy,Ga6In6|GaIn|101,Ga6In6,GaIn,101,H2O(g) + 3* -> 2H* + O*,H,bridge-tilt,1.4276686564315924,Catalysis-Hub,False,1.4276686564315924
