kind,candidate_id,formula,surface,site,PC1,PC2,dG_H,pred_dG_H,pred_sigma,near_zero_rank,priority_rank,dft_converged
train,Ag6Mo6|AgMo|101,Ag6Mo6,AgMo,top|A,-4.943994700309535,-2.7741164438589045,0.5401725008423739,,,,,False
train,Ag6Nb6|AgNb|101,Ag6Nb6,AgNb,hollow|A_A_B|FCC,-5.423580122226969,-3.7856670502699297,-0.1335941530550997,,,,,False
train,Ag6Nb6|AgNb|101,Ag6Nb6,AgNb,hollow|A_A_B|HCP,-5.418087468477287,-3.7798291123268757,-0.1578086111612435,,,,,False
train,Ag6Ni6|AgNi|101,Ag6Ni6,AgNi,bridge,-5.326143358570716,-2.036768690395246,-0.291363443763629,,,,,False
train,Ag6Os6|AgOs|101,Ag6Os6,AgOs,bridge,-5.761853876289763,-4.570180280722757,0.2189407537453291,,,,,False
train,Ag6Os6|AgOs|101,Ag6Os6,AgOs,bridge|A_A|A,-6.291687263893537,-5.063473028563937,0.2189407537453291,,,,,False
train,Ag6Pb6|AgPb|101,Ag6Pb6,AgPb,bridge|A_B|A,-6.008330240007202,-7.105831577191431,0.6848484899465177,,,,,False
train,Ag6Pd6|AgPd|101,Ag6Pd6,AgPd,hollow|A_A_B|HCP,-9.20921978914094,-3.018783620371339,0.1137103866431346,,,,,False
train,Ag6Pd6|AgPd|101,Ag6Pd6,AgPd,hollow|A_B_B|HCP,-9.214140206572674,-3.0050254364208473,-0.1992359022615062,,,,,False
train,Ag6Pt6|AgPt|101,Ag6Pt6,AgPt,bridge|B_B|A,-8.340995419929094,-6.2369518636488905,-0.340017534158477,,,,,False
train,Ag6Pt6|AgPt|101,Ag6Pt6,AgPt,top|B,-7.878459753578129,-5.827207090206472,-0.1318047324520819,,,,,False
train,Ag6Re6|AgRe|101,Ag6Re6,AgRe,hollow-tilt|A_A_B|HCP,-6.459811982773944,-4.929567598547177,-0.2904605700595937,,,,,False
train,Ag6Re6|AgRe|101,Ag6Re6,AgRe,hollow|A_A_B|HCP,-6.385903170329758,-4.82930914232283,-0.2969981049600108,,,,,False
train,Ag6Rh6|AgRh|101,Ag6Rh6,AgRh,bridge,-7.122789879617967,-3.0708763839882143,-0.2955594391596321,,,,,False
train,Ag6Rh6|AgRh|101,Ag6Rh6,AgRh,bridge|A_A|B,-7.641067512691064,-3.553650834349098,0.5803590888399697,,,,,False
train,Ag6Rh6|AgRh|101,Ag6Rh6,AgRh,hollow|A_A_B|FCC,-7.896743208805914,-3.6194284322613157,0.0597953833430722,,,,,False
train,Ag6Ru6|AgRu|101,Ag6Ru6,AgRu,bridge|B_B|A,-6.909465412761887,-3.132609743351755,-0.194623708658554,,,,,False
train,Ag6Ru6|AgRu|101,Ag6Ru6,AgRu,bridge|B_B|B,-6.89790965823121,-3.1220914458714577,-0.2205564296591262,,,,,False
train,Ag6Sc6|AgSc|101,Ag6Sc6,AgSc,4fold|A_A_B_B,-0.8165306603535526,-3.553088850834749,0.0909649351424661,,,,,False
train,Ag6Sn6|AgSn|101,Ag6Sn6,AgSn,bridge,-5.779744641026187,-2.72330337310565,0.6815708787480901,,,,,False
train,Ag6Sn6|AgSn|101,Ag6Sn6,AgSn,bridge|A_A|B,-6.298022274099284,-3.2060778234665337,0.7027720842461633,,,,,False
train,Ag6Tc6|AgTc|101,Ag6Tc6,AgTc,bridge|B_B|A,-6.003026336100731,-2.2769184840989625,-0.4841148731565852,,,,,False
